Radon Tracer Results

Date-Time of Calculation: 2018-01-04T18:48:31.704

Values: 12, 12, 100, 5, 10, 24
E.quake # 46.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 75.0			Anomaly at index: 25358		Value: 107.52		Time: Sat Oct 27 14:20:00 EEST 2012
E.quake # 47.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 76.0			Anomaly at index: 25359		Value: 101.376		Time: Sat Oct 27 14:30:00 EEST 2012
E.quake # 48.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 77.0			Anomaly at index: 25360		Value: 101.376		Time: Sat Oct 27 14:40:00 EEST 2012
E.quake # 49.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 78.0			Anomaly at index: 25361		Value: 103.936		Time: Sat Oct 27 14:50:00 EEST 2012
E.quake # 50.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 79.0			Anomaly at index: 25362		Value: 106.496		Time: Sat Oct 27 15:00:00 EEST 2012
E.quake # 51.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 80.0			Anomaly at index: 25363		Value: 107.008		Time: Sat Oct 27 15:10:00 EEST 2012
E.quake # 52.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 81.0			Anomaly at index: 25364		Value: 103.936		Time: Sat Oct 27 15:20:00 EEST 2012
E.quake # 53.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 82.0			Anomaly at index: 25365		Value: 111.616		Time: Sat Oct 27 15:30:00 EEST 2012
E.quake # 54.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 83.0			Anomaly at index: 25366		Value: 106.496		Time: Sat Oct 27 15:40:00 EEST 2012
E.quake # 55.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 84.0			Anomaly at index: 25367		Value: 108.032		Time: Sat Oct 27 15:50:00 EEST 2012
E.quake # 56.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 85.0			Anomaly at index: 25368		Value: 101.888		Time: Sat Oct 27 16:00:00 EEST 2012
