2012-04-24-00-24-10,124.472,2.8,4.972
2012-04-24-00-26-26,133.796,2.3,4.397
2012-04-24-01-22-47,121.338,2.2,4.398
2012-04-24-02-10-57,121.361,2.3,4.498
2012-04-24-02-37-41,126.091,2.5,4.658
2012-04-24-02-42-41,121.326,2.5,4.699
2012-04-24-02-47-37,127.123,3.6,5.75
2012-04-24-03-10-16,123.68,2.2,4.378
2012-04-24-03-52-17,121.896,2,4.194
2012-04-24-04-22-55,129.467,2.1,4.231
2012-04-24-04-29-45,123.797,2.2,4.377
2012-04-24-04-37-21,123.188,2,4.183
2012-04-24-05-24-05,122.13,2.3,4.492
2012-04-24-05-53-32,121.553,2,4.197
2012-04-24-06-00-02,120.869,2,4.202
2012-04-24-06-06-44,123.122,2.4,4.583
2012-04-24-06-55-41,124.494,2,4.172
2012-04-24-07-45-42,120.262,2.1,4.308
2012-04-24-07-47-12,148.876,2.2,4.185
2012-04-24-08-53-53,126.575,2.5,4.654
2012-04-24-09-32-41,133.566,2.6,4.698
2012-04-24-09-39-21,127.884,2.4,4.544
2012-04-24-11-01-16,185.728,2.6,4.355
2012-04-24-12-18-34,181.866,1.8,3.577
2012-04-24-13-38-25,120.529,2.7,4.905
2012-04-24-13-49-58,138.019,1.7,3.764
2012-04-24-13-54-28,128.237,1.8,3.941
2012-04-24-14-29-53,126.738,2.7,4.853
2012-04-24-14-39-17,125.879,3,5.16
2012-04-24-14-52-32,127.189,2.2,4.349
2012-04-24-15-01-18,125.755,2.9,5.061
2012-04-24-15-48-06,130.023,2,4.126
2012-04-24-15-51-22,127.537,2.8,4.946
2012-04-24-15-54-16,128.497,3.4,5.539
2012-04-24-17-20-16,127.709,2.7,4.845
2012-04-24-17-25-17,122.227,2.1,4.291
2012-04-24-17-53-23,120.201,2.4,4.608
2012-04-24-18-47-01,128.122,2.3,4.442
2012-04-24-18-52-46,127.456,2.6,4.747
2012-04-24-20-00-45,122.981,2.1,4.284
2012-04-24-20-01-52,135.073,2.4,4.487
2012-04-24-20-06-53,172.972,2.1,3.929
2012-04-24-20-12-29,176.862,2,3.806
2012-04-24-20-26-50,126.038,2.5,4.659
2012-04-24-20-36-17,123.579,2.7,4.879
2012-04-24-21-41-54,126.457,2.2,4.355
2012-04-24-21-48-34,124.769,2.6,4.769
2012-04-24-21-58-18,125.023,2.5,4.667
2012-04-24-22-04-15,129.367,2.1,4.232
2012-04-24-22-22-45,126.734,2.5,4.653
2012-04-25-00-12-35,124.993,2.3,4.467
2012-04-25-01-20-58,127.082,2,4.15
2012-04-25-03-42-43,129.449,2.1,4.231
2012-04-25-03-55-08,124.55,2.6,4.771
2012-04-25-05-37-24,127.231,3,5.149
2012-04-25-06-01-00,125.533,2,4.163
2012-04-25-07-19-36,128.954,2,4.135
2012-04-25-08-25-43,137.131,2.2,4.271
2012-04-25-09-58-45,191.365,2,3.724
2012-04-25-10-22-33,130.793,3.3,5.42
2012-04-25-10-39-01,133.585,2,4.098
2012-04-25-10-48-12,128.217,2.4,4.541
2012-04-25-11-16-22,128.66,2.6,4.737
2012-04-25-11-27-58,128.684,2,4.137
2012-04-25-11-30-28,128.146,2.1,4.242
2012-04-25-14-49-08,125.783,2.4,4.561
2012-04-25-16-02-07,157.857,2.2,4.124
2012-04-25-17-07-08,126.015,3,5.159
2012-04-25-17-50-29,120.908,2,4.202
2012-04-25-19-18-11,132.628,3,5.106
2012-04-25-19-55-28,129.47,2.1,4.231
2012-04-25-20-12-17,118.678,2.1,4.322
2012-04-25-23-08-09,272.902,2.3,3.654
2012-04-25-23-17-47,125.242,2.2,4.365
2012-04-26-01-06-13,126.617,2.7,4.854
2012-04-26-01-23-41,125.797,2.3,4.461
2012-04-26-05-13-35,127.994,2,4.143
2012-04-26-06-04-04,125.416,2.2,4.364
2012-04-26-08-50-23,128.396,2.7,4.839
2012-04-26-15-06-50,126.928,2.3,4.451
2012-04-26-18-49-41,8.24,2.6,7.602
2012-04-26-19-10-03,125.007,3,5.167
2012-04-26-22-48-59,129.337,2.5,4.632
2012-04-26-22-58-20,124.844,2.8,4.969
2012-04-27-00-42-50,124.086,1.9,4.075
2012-04-27-00-46-42,124.319,1.9,4.073
2012-04-27-01-02-34,123.198,3,5.183
2012-04-27-01-05-33,128.719,4.9,7.037
2012-04-27-01-18-01,122.171,2.6,4.791
2012-04-27-01-22-43,123.534,2.5,4.68
2012-04-27-01-26-39,118.844,2.4,4.62
2012-04-27-01-29-54,121.516,2.3,4.497
2012-04-27-01-34-28,123.636,2.5,4.679
2012-04-27-01-43-33,124.34,2.2,4.373
2012-04-27-01-46-31,122.824,2.3,4.486
2012-04-27-02-02-56,121.527,2.7,4.897
2012-04-27-02-07-32,109.462,2.4,4.706
2012-04-27-02-27-37,121.005,2.5,4.701
2012-04-27-02-40-48,123.11,2.9,5.083
2012-04-27-02-46-53,127.074,3.4,5.55
2012-04-27-02-50-52,132.965,2.1,4.203
2012-04-27-02-59-06,124.778,2.1,4.269
2012-04-27-03-02-41,121.124,2.5,4.7
2012-04-27-04-01-47,125.624,2.5,4.662
2012-04-27-04-18-44,124.461,2.3,4.472
2012-04-27-04-19-10,131.062,2.5,4.618
2012-04-27-04-21-21,124.534,2.6,4.771
2012-04-27-04-26-12,125.621,3,5.162
2012-04-27-04-38-22,176.566,3,4.807
2012-04-27-05-54-00,128.292,3.4,5.54
2012-04-27-06-01-00,125.267,2.7,4.865
2012-04-27-06-01-01,127.988,2.8,4.943
2012-04-27-06-10-33,420.228,2.5,3.404
2012-04-27-06-58-25,124.366,2.7,4.873
2012-04-27-07-06-19,122.722,2.4,4.587
2012-04-27-07-11-26,125.586,2.3,4.463
2012-04-27-07-23-45,121.066,2.2,4.401
2012-04-27-07-33-52,119.122,2.9,5.118
2012-04-27-07-45-13,124.581,2.5,4.671
2012-04-27-08-11-06,122.84,2.9,5.086
2012-04-27-08-19-40,126.354,2.3,4.456
2012-04-27-09-07-19,129.931,2.6,4.727
2012-04-27-09-13-19,175.197,2.5,4.316
2012-04-27-09-14-00,120.404,2.2,4.406
2012-04-27-09-46-24,112.036,2.5,4.782
2012-04-27-10-02-25,127.538,2.2,4.346
2012-04-27-10-11-24,126.364,2.8,4.956
2012-04-27-10-15-01,126.523,3.1,5.255
2012-04-27-10-15-02,127.64,3.1,5.246
2012-04-27-10-39-56,128.931,2.7,4.835
2012-04-27-10-49-00,134.899,2.6,4.688
2012-04-27-10-50-33,127.969,2.7,4.843
2012-04-27-11-35-04,136.488,1.9,3.976
2012-04-27-11-38-12,123.503,2,4.18
2012-04-27-11-43-09,127.499,2,4.147
2012-04-27-11-49-17,124.003,2.8,4.976
2012-04-27-11-49-19,127.666,3,5.145
2012-04-27-11-52-15,190.537,2.3,4.028
2012-04-27-11-53-02,129.892,2.5,4.627
2012-04-27-11-59-47,191.021,2.3,4.025
2012-04-27-12-14-44,128.815,2.9,5.036
2012-04-27-12-16-47,124.677,3.1,5.27
2012-04-27-12-16-48,128.515,3.1,5.239
2012-04-27-13-04-19,130.237,2.5,4.625
2012-04-27-13-06-11,128.291,2,4.14
2012-04-27-13-19-03,127.676,2.6,4.745
2012-04-27-14-08-09,133.14,2.5,4.602
2012-04-27-15-53-35,122.399,2.7,4.889
2012-04-27-16-15-04,123.311,2.5,4.682
2012-04-27-16-35-02,126.644,3,5.154
2012-04-27-17-13-37,124.358,2.3,4.473
2012-04-27-18-08-03,127.896,2,4.144
2012-04-27-18-22-58,129.848,2,4.128
2012-04-27-18-28-21,129.207,2.3,4.433
2012-04-27-18-30-27,128.845,2.2,4.336
2012-04-27-19-02-28,131.318,2.6,4.716
2012-04-27-19-14-34,129.355,2,4.132
2012-04-27-19-40-15,106.202,2.3,4.637
2012-04-27-21-18-53,127.77,2.7,4.845
2012-04-27-21-35-56,166.86,2.3,4.166
2012-04-27-21-42-35,119.482,2.5,4.714
2012-04-27-22-17-25,131.482,2.8,4.915
2012-04-27-23-25-19,138.289,2.3,4.362
2012-04-27-23-31-09,129.72,2.3,4.429
2012-04-27-23-46-03,128.423,2.2,4.339
2012-04-28-00-33-44,129.227,2,4.133
2012-04-28-01-00-53,131.304,2.1,4.216
2012-04-28-01-39-37,129.046,2.2,4.334
2012-04-28-01-56-34,130.257,3.4,5.524
2012-04-28-02-27-46,128.748,2,4.137
2012-04-28-02-38-23,127.02,2.5,4.651
2012-04-28-02-43-58,131.463,2.4,4.515
2012-04-28-03-07-17,149.473,2.3,4.281
2012-04-28-03-45-55,167.122,2.3,4.165
2012-04-28-03-57-13,130.24,1.9,4.025
2012-04-28-04-26-25,130.762,2.4,4.52
2012-04-28-04-45-14,32.29,2.7,6.278
2012-04-28-04-53-48,128.783,2.3,4.436
2012-04-28-05-03-28,127.21,2.3,4.449
2012-04-28-06-11-32,138.715,2.4,4.459
2012-04-28-06-14-48,129.003,2.1,4.235
2012-04-28-06-15-03,182.161,2,3.775
2012-04-28-06-20-57,129.506,2.2,4.331
2012-04-28-06-26-30,140.37,2.3,4.347
2012-04-28-06-28-24,130.43,1.9,4.023
2012-04-28-06-49-11,171.816,2.5,4.336
2012-04-28-07-14-45,154.964,2.8,4.743
2012-04-28-07-35-20,128.951,3,5.135
2012-04-28-07-35-22,128.778,3.2,5.336
2012-04-28-07-58-15,174.115,2.2,4.022
2012-04-28-08-56-26,122.79,3,5.186
2012-04-28-08-56-27,125.572,3.1,5.263
2012-04-28-14-39-48,127.623,3.3,5.446
2012-04-28-14-45-59,126.242,2.2,4.357
2012-04-28-14-53-13,175.729,2.9,4.712
2012-04-28-16-10-15,126.042,2.5,4.659
2012-04-28-21-21-11,128.206,2.1,4.241
2012-04-28-21-51-44,130.83,2.3,4.42
2012-04-28-22-07-45,171.986,3,4.835
2012-04-28-22-09-47,129.651,2.3,4.429
2012-04-29-03-15-28,128.299,2.2,4.34
2012-04-29-04-42-52,151.379,2.8,4.768
2012-04-29-04-42-53,154.013,2.9,4.85
2012-04-29-04-47-29,129.678,2.1,4.229
2012-04-29-04-48-44,236.432,1.9,3.403
2012-04-29-06-03-07,152.05,2.5,4.463
2012-04-29-07-47-17,127.65,2.3,4.446
2012-04-29-09-25-28,125.399,2.9,5.064
2012-04-29-11-48-39,133.644,2.2,4.298
2012-04-29-12-36-57,130.68,2.1,4.221
2012-04-29-12-40-31,126.341,3,5.156
2012-04-29-13-04-18,153.696,2.9,4.852
2012-04-29-14-00-41,126.537,2.3,4.455
2012-04-29-15-31-11,134.948,2.3,4.388
2012-04-29-17-39-33,128.587,2,4.138
2012-04-29-18-11-15,128.984,1.9,4.035
2012-04-29-19-57-12,129.534,2.6,4.73
2012-04-29-21-54-42,129.138,1.9,4.033
2012-04-29-22-57-58,218.407,2.9,4.486
2012-04-30-03-19-20,129.334,2,4.132
2012-04-30-04-29-22,130.498,2.1,4.223
2012-04-30-04-42-14,127.683,2.2,4.345
2012-04-30-05-04-19,137.418,2.2,4.269
2012-04-30-06-53-05,130.68,2.2,4.321
2012-04-30-07-19-45,132.34,2.1,4.208
2012-04-30-07-39-01,130.463,2,4.123
2012-04-30-08-46-48,109.621,2.4,4.704
2012-04-30-08-48-34,109.472,2.4,4.706
2012-04-30-09-16-07,128.228,2.4,4.541
2012-04-30-09-23-45,125.128,2.8,4.966
2012-04-30-09-24-09,142.085,2.8,4.834
2012-04-30-09-32-59,125.802,2.9,5.061
2012-04-30-09-50-16,116.312,2.5,4.742
2012-04-30-10-12-32,127.353,3.2,5.348
2012-04-30-10-16-30,186.274,2.4,4.152
2012-04-30-10-22-26,125.637,2.4,4.562
2012-04-30-12-11-23,126.083,2.1,4.258
2012-04-30-12-23-10,124.924,3.1,5.268
2012-04-30-12-23-11,128.808,3,5.136
2012-04-30-14-51-21,129.691,2.6,4.729
2012-04-30-17-22-27,186.753,1.9,3.649
2012-04-30-17-57-09,184.544,2.4,4.161
2012-04-30-19-14-58,119.909,2.5,4.711
2012-04-30-19-43-19,125.135,2,4.166
2012-04-30-20-44-09,120.462,3.2,5.406
2012-05-01-01-05-10,124.23,2.7,4.874
2012-05-01-02-35-19,120.475,2.3,4.506
2012-05-01-03-20-31,126.222,2.4,4.557
2012-05-01-05-33-18,131.603,3.7,5.814
2012-05-01-07-00-37,128.58,2.4,4.538
2012-05-01-08-40-32,102.084,2.2,4.579
2012-05-01-16-15-00,125.798,2.7,4.861
2012-05-01-17-31-28,123.828,2.4,4.577
2012-05-01-17-48-28,227.018,5,6.545
2012-05-01-18-13-18,124.995,2.6,4.767
2012-05-01-18-57-17,126.363,3.2,5.356
2012-05-01-20-12-48,201.542,2.7,4.37
2012-05-01-20-26-51,134.904,2.2,4.288
2012-05-01-21-31-01,126.19,2,4.158
2012-05-02-01-02-26,125.713,2.2,4.361
2012-05-02-01-03-42,151.979,3.1,5.064
2012-05-02-01-04-54,126.877,2.1,4.252
2012-05-02-01-31-43,185.081,2.4,4.158
2012-05-02-02-24-14,183.849,2.9,4.665
2012-05-02-02-43-09,186.458,2.4,4.151
2012-05-02-04-08-51,184.314,2.9,4.663
2012-05-02-05-29-56,186.451,2.7,4.451
2012-05-02-06-37-24,125.619,2.3,4.462
2012-05-02-06-42-25,126.624,2,4.154
2012-05-02-08-31-26,40.938,2.4,5.731
2012-05-02-08-47-31,132.357,2.1,4.208
2012-05-02-11-09-33,131.884,2.8,4.912
2012-05-02-11-20-42,182.67,2.9,4.672
2012-05-02-11-30-45,184.058,3.2,4.964
2012-05-02-11-54-33,115.035,2.4,4.654
2012-05-02-14-21-43,187.781,2.6,4.343
2012-05-02-14-37-07,227.797,4,5.542
2012-05-02-14-41-18,126.012,2.3,4.459
2012-05-02-15-09-46,187.42,3,4.745
2012-05-02-15-14-07,114.912,2.5,4.755
2012-05-02-16-35-28,138.328,1.8,3.862
2012-05-02-17-20-46,116.418,2,4.242
2012-05-02-17-22-17,224.391,2.2,3.758
2012-05-02-17-36-43,176.369,2.6,4.409
2012-05-02-17-59-45,181.231,2.7,4.48
2012-05-02-18-25-25,121.761,2.2,4.395
2012-05-02-20-59-40,129.471,2.2,4.331
2012-05-02-21-36-09,123.35,2,4.181
2012-05-02-22-56-25,125.026,2.3,4.467
2012-05-03-00-33-29,131.417,2,4.115
2012-05-03-01-03-31,131.086,2.1,4.218
2012-05-03-01-04-58,140.569,2.4,4.445
2012-05-03-01-05-39,131.156,2.4,4.517
2012-05-03-01-25-20,125.784,2.1,4.261
2012-05-03-02-14-52,129.836,2.1,4.228
2012-05-03-03-59-41,142.463,2.2,4.231
2012-05-03-04-15-21,121.836,2.1,4.294
2012-05-03-04-56-16,131.056,2.2,4.318
2012-05-03-04-57-48,225.21,4.3,5.854
2012-05-03-06-16-45,124.975,2.1,4.268
2012-05-03-06-35-00,128.288,2,4.14
2012-05-03-08-05-11,130.629,2.1,4.222
2012-05-03-09-53-50,118.833,2.1,4.32
2012-05-03-12-45-46,99.69,2.3,4.703
2012-05-03-14-13-18,177.472,2.6,4.402
2012-05-03-14-56-20,108.397,2.2,4.516
2012-05-03-15-49-15,185.489,2.4,4.156
2012-05-03-16-57-00,186.375,2.1,3.851
2012-05-03-18-20-25,134.739,5.1,7.189
2012-05-03-18-24-14,129.735,4,6.129
2012-05-03-18-25-27,125.783,4.2,6.361
2012-05-03-18-28-30,120.224,3.6,5.808
2012-05-03-18-32-58,118.076,2.8,5.027
2012-05-03-18-33-43,126.816,2.7,4.852
2012-05-03-18-38-00,134.335,3,5.092
2012-05-03-18-40-05,126.443,3.5,5.655
2012-05-03-18-40-57,126.978,3.8,5.951
2012-05-03-18-47-52,129.586,2.8,4.93
2012-05-03-18-49-50,127.587,2.3,4.446
2012-05-03-18-51-25,130.25,2.1,4.225
2012-05-03-18-52-20,124.26,2.7,4.874
2012-05-03-18-54-13,124.314,2.1,4.273
2012-05-03-18-55-54,125.461,2.5,4.664
2012-05-03-19-00-50,132.398,3.3,5.407
2012-05-03-19-05-00,132.709,2.2,4.305
2012-05-03-19-05-01,126.551,3.2,5.355
2012-05-03-19-07-22,130.202,3.5,5.625
2012-05-03-19-07-23,133.354,3.7,5.8
2012-05-03-19-16-04,129.064,4.4,6.534
2012-05-03-19-19-45,127.715,3.3,5.445
2012-05-03-19-23-38,125.96,2.3,4.459
2012-05-03-19-26-43,128.832,3.3,5.436
